ID	Name	Handedness	Height	Weight	Batting Average	Home Runs	Body Mass Index	NZ	Sqrt-HR	BMI-Type	R Handed	L Handed	B Handed	737	316	104	HR Norm	1/Weight
1	Tom Brown	R	73	170	0	0	22.42634641	0	0	"(16,23]"	1	0	0	0	0	0	0	0.737
2	Denny Lemaster	R	73	182	0.13	4	24.00938262	1	2	"(23,25]"	1	0	0	4	0	0	5.427408412	0.737
3	Joe Nolan	L	71	175	0.26	27	24.40487998	1	5.196152423	"(23,25]"	0	1	0	0	27	0	85.44303797	0.316
4	Denny Doyle	L	69	175	0.25	16	25.84015963	1	4	"(25,32]"	0	1	0	0	16	0	50.63291139	0.316
5	Jose Cardenal	R	70	150	0.28	138	21.52040816	1	11.74734012	"(16,23]"	1	0	0	138	0	0	187.2455902	0.737
6	Mike Ryan	R	74	205	0.19	28	26.31756757	1	5.291502622	"(25,32]"	1	0	0	28	0	0	37.99185889	0.737
7	Fritz Peterson	B	72	185	0.16	2	25.08777006	1	1.414213562	"(25,32]"	0	0	1	0	0	2	19.23076923	0.104
8	Dick Bertell	R	72	200	0.25	10	27.12191358	1	3.16227766	"(25,32]"	1	0	0	10	0	0	13.56852103	0.737
9	Rod Kanehl	R	73	180	0.24	6	23.74554325	1	2.449489743	"(23,25]"	1	0	0	6	0	0	8.141112619	0.737
10	Ozzie Osborn	R	74	195	0	0	25.03378378	0	0	"(25,32]"	1	0	0	0	0	0	0	0.737
11	John LaRose	L	73	185	0	0	24.40514168	0	0	"(23,25]"	0	1	0	0	0	0	0	0.316
12	Jeff Byrd	R	75	195	0	0	24.37066667	0	0	"(23,25]"	1	0	0	0	0	0	0	0.737
13	Juan Bonilla	R	69	170	0.26	7	25.10186936	1	2.645751311	"(25,32]"	1	0	0	7	0	0	9.497964722	0.737
14	Frank Tepedino	L	71	185	0.24	6	25.79944455	1	2.449489743	"(25,32]"	0	1	0	0	6	0	18.98734177	0.316
15	Jerry Kutzler	L	73	175	0	0	23.08594483	0	0	"(23,25]"	0	1	0	0	0	0	0	0.316
16	Rick Wise	R	73	180	0.2	15	23.74554325	1	3.872983346	"(23,25]"	1	0	0	15	0	0	20.35278155	0.737
17	Darrell Evans	L	74	200	0.25	414	25.67567568	1	20.34698995	"(25,32]"	0	1	0	0	414	0	1310.126582	0.316
18	Buck Martinez	R	70	190	0.23	58	27.25918367	1	7.615773106	"(25,32]"	1	0	0	58	0	0	78.69742198	0.737
19	John Wockenfuss	R	72	190	0.26	86	25.7658179	1	9.273618495	"(25,32]"	1	0	0	86	0	0	116.6892809	0.737
20	Tommy McCraw	L	72	183	0.25	75	24.81655093	1	8.660254038	"(23,25]"	0	1	0	0	75	0	237.3417722	0.316
21	Jeff Barkley	B	75	185	0	0	23.12088889	0	0	"(23,25]"	0	0	1	0	0	0	0	0.104
22	Eric Wilkins	R	73	190	0	0	25.0647401	0	0	"(25,32]"	1	0	0	0	0	0	0	0.737
23	Britt Burns	L	77	215	0	0	25.49249452	0	0	"(25,32]"	0	1	0	0	0	0	0	0.316
24	Lee Lacy	R	73	175	0.29	91	23.08594483	1	9.539392014	"(23,25]"	1	0	0	91	0	0	123.4735414	0.737
25	Pete Rose	B	71	192	0.3	160	26.77563975	1	12.64911064	"(25,32]"	0	0	1	0	0	160	1538.461538	0.104
26	Danny Walton	R	72	195	0.22	28	26.44386574	1	5.291502622	"(25,32]"	1	0	0	28	0	0	37.99185889	0.737
27	Bobby Cox	R	71	180	0.23	9	25.10216227	1	3	"(25,32]"	1	0	0	9	0	0	12.21166893	0.737
28	Brad Wellman	R	72	170	0.23	6	23.05362654	1	2.449489743	"(23,25]"	1	0	0	6	0	0	8.141112619	0.737
29	Jeff Newman	R	74	215	0.22	63	27.60135135	1	7.937253933	"(25,32]"	1	0	0	63	0	0	85.4816825	0.737
30	Pedro Gonzalez	R	72	176	0.24	8	23.86728395	1	2.828427125	"(23,25]"	1	0	0	8	0	0	10.85481682	0.737
31	Nardi Contreras	B	74	193	0	0	24.77702703	0	0	"(23,25]"	0	0	1	0	0	0	0	0.104
32	Tommie Reynolds	R	74	190	0.23	12	24.39189189	1	3.464101615	"(23,25]"	1	0	0	12	0	0	16.28222524	0.737
33	Gene Clines	R	69	170	0.28	5	25.10186936	1	2.236067977	"(25,32]"	1	0	0	5	0	0	6.784260516	0.737
